index,image,PSNR,SSIM,LPIPS
156,00156.png,21.51397572013924,0.9695382095714306,0.014242560602724552
159,00159.png,32.08253430879629,0.9908880089074507,0.011246856302022934
162,00162.png,38.57779794527622,0.9924132965777747,0.011308174580335617
165,00165.png,39.632026238929086,0.9934697682945826,0.010631389915943146
168,00168.png,40.801457194153514,0.9941533951254223,0.011004243977367878
171,00171.png,42.270396335212595,0.9951115311228323,0.009245634078979492
174,00174.png,43.16051454957563,0.9957876482406633,0.008420264348387718
177,00177.png,44.081423228369715,0.996163694937734,0.0069927615113556385
180,00180.png,42.28488592339985,0.9961860638818935,0.006916912738233805
183,00183.png,38.343501992731234,0.9956866629509085,0.009008548222482204
186,00186.png,39.982794011814974,0.9956699343338961,0.009993791580200195
189,00189.png,40.030250231355666,0.9959512842155419,0.009414405561983585
192,00192.png,43.55720229961562,0.9961058845217071,0.007642675191164017
195,00195.png,42.4959278369981,0.9959174296874304,0.007780988700687885
198,00198.png,40.74274761457886,0.9953657369265367,0.007647593040019274
201,00201.png,35.10023025680147,0.9959314064499417,0.0073621636256575584
204,00204.png,24.653571837898024,0.985137002755969,0.009255152195692062
207,00207.png,22.775865716897332,0.9780803113274875,0.01228143461048603
210,00210.png,18.83083980620834,0.9635159806777153,0.029927443712949753
213,00213.png,24.987701750767798,0.9839334628829167,0.018181299790740013
216,00216.png,31.568973123504005,0.9908740431914874,0.009145040065050125
219,00219.png,35.151040530533116,0.9918925504630611,0.010098892264068127
222,00222.png,34.30664886054929,0.9908101561065172,0.012173553928732872
225,00225.png,39.047604177759,0.9938050945616362,0.011514829471707344
228,00228.png,41.09552178072613,0.9945749287250513,0.01086925994604826
231,00231.png,41.16209810238129,0.9949658175253966,0.009950720705091953
234,00234.png,43.23731527834361,0.9959048203041238,0.008311966434121132
237,00237.png,44.52010664894421,0.996719996462868,0.006286249030381441
240,00240.png,40.20130435986723,0.9965318278156793,0.006543617695569992
243,00243.png,39.10182237356504,0.9959565118424296,0.008609610609710217
246,00246.png,40.96663520851984,0.9961916898796821,0.00908576138317585
249,00249.png,41.21639396265402,0.9962942442219844,0.00815428514033556
252,00252.png,33.60566246099948,0.9938762842320117,0.009499629959464073
255,00255.png,33.89722954806575,0.9932519077039097,0.009510035626590252
258,00258.png,37.974445666904856,0.9954250917769638,0.006736544892191887
261,00261.png,36.24755597448407,0.9958077206122824,0.00833330862224102
264,00264.png,37.69206676577714,0.9958048996149804,0.005985385738313198
267,00267.png,31.586265725695092,0.9928013641324106,0.006050987634807825
270,00270.png,24.90839108508004,0.9808163012139905,0.025054631754755974
273,00273.png,36.53230168389839,0.9936276762945587,0.008446894586086273
