index,image,PSNR,SSIM,LPIPS
297,00297.png,43.72168117497968,0.9968534448801352,0.004917396232485771
300,00300.png,41.31937683151669,0.9966031607963292,0.005536166951060295
303,00303.png,38.67908971733453,0.9965914221597452,0.006380567792803049
306,00306.png,41.721146041945794,0.9966925037054182,0.00587994372472167
309,00309.png,42.64381856886171,0.9968250548087051,0.0058936914429068565
312,00312.png,40.682963155516035,0.9970238766807978,0.005179674830287695
315,00315.png,34.004164231130915,0.9921525874222759,0.0094478540122509
318,00318.png,34.20484797140833,0.9946812427125712,0.008188946172595024
321,00321.png,45.868716832693025,0.9993196797036275,0.0023946668952703476
324,00324.png,44.6034123121802,0.9979512253081034,0.0032063426915556192
327,00327.png,42.24567165824763,0.9953836239025644,0.006242087110877037
330,00330.png,39.0874959549405,0.9948085181881182,0.006028811912983656
333,00333.png,39.418104837673376,0.9953025371501755,0.006552544422447681
336,00336.png,40.2818552657739,0.9951350141508261,0.00801224447786808
339,00339.png,42.75365507354333,0.9955347572554178,0.0068069458939135075
342,00342.png,35.487146194345165,0.9952395971388108,0.008119817823171616
345,00345.png,39.98925449127274,0.9941781188780412,0.009019593708217144
348,00348.png,41.404149401411594,0.9959752253111465,0.008056340739130974
351,00351.png,40.26219624251739,0.9958678305738783,0.00780765525996685
354,00354.png,41.981593016993514,0.9964063950142615,0.007051330991089344
357,00357.png,43.39815839568872,0.997183568412468,0.005159534513950348
360,00360.png,38.95783702188044,0.9968513159929374,0.005729068536311388
363,00363.png,38.020909333766014,0.9966929576815731,0.005992932710796595
366,00366.png,41.04758574224577,0.9972743365219197,0.0040377164259552956
369,00369.png,40.65566850395258,0.9963087250050817,0.005846658255904913
372,00372.png,39.45126338730651,0.9971089085232888,0.005304296035319567
375,00375.png,34.92534787817458,0.9930411345981823,0.006351173389703035
378,00378.png,33.96776889675956,0.9942570985672161,0.008895991370081902
384,00384.png,42.11372490073211,0.9966804303010075,0.003805323038250208
387,00387.png,43.49413762789303,0.9966520773828011,0.004631464369595051
390,00390.png,42.70653148955895,0.9962878739109284,0.005649915896356106
393,00393.png,42.54874475302333,0.9959257150394969,0.006442160811275244
396,00396.png,42.24168131897252,0.9955647200521908,0.0076994625851511955
399,00399.png,43.055390769054185,0.9961904671096398,0.0067042456939816475
402,00402.png,43.390326979689995,0.996353118057347,0.00807881634682417
